
2024-01-04 21:14:23 INFO  Formula1Scraper:15 - Start scraping fromhttps://www.formula1.com/en/results.html/2023/races/1226/abu-dhabi/race-result.html
2024-01-06 17:20:17 INFO  DriverScraper:24 - OK
2024-01-06 17:22:18 INFO  DriverScraper:24 - OK
2024-01-06 17:22:44 INFO  DriverScraper:24 - OK
2024-01-06 17:26:06 INFO  DriverScraper:24 - OK
2024-01-06 17:26:07 INFO  RacesScraper:19 - Start scraping from https://www.formula1.com/en/results.html/2023/races.html
2024-01-06 17:26:07 INFO  RacesScraper:24 - OK
2024-01-06 17:28:29 INFO  DriverScraper:24 - OK
2024-01-06 17:33:20 INFO  DriverScraper:24 - OK
2024-01-06 17:35:53 INFO  DriverScraper:24 - OK
2024-01-06 17:39:10 INFO  DriverScraper:24 - OK
2024-01-06 17:45:12 INFO  DriverScraper:24 - OK
2024-01-06 17:45:35 INFO  DriverScraper:24 - OK
2024-01-06 17:46:44 INFO  DriverScraper:24 - OK
2024-01-06 17:46:45 INFO  DriverScraper:24 - OK
2024-01-06 17:46:47 INFO  DriverScraper:24 - OK
2024-01-06 17:47:15 INFO  DriverScraper:24 - OK
2024-01-06 17:47:16 INFO  DriverScraper:24 - OK
2024-01-06 17:47:19 INFO  DriverScraper:24 - OK
2024-01-06 17:47:20 INFO  DriverScraper:24 - OK
2024-01-06 17:47:22 INFO  DriverScraper:24 - OK
2024-01-06 17:47:46 INFO  DriverScraper:24 - OK
2024-01-06 17:47:48 INFO  DriverScraper:24 - OK
2024-01-06 17:47:49 INFO  DriverScraper:24 - OK
2024-01-06 17:47:52 INFO  DriverScraper:24 - OK
2024-01-06 17:47:54 INFO  DriverScraper:24 - OK
2024-01-06 17:47:56 INFO  DriverScraper:24 - OK
2024-01-06 17:47:58 INFO  DriverScraper:24 - OK
2024-01-06 17:48:00 INFO  DriverScraper:24 - OK
2024-01-06 17:48:02 INFO  DriverScraper:24 - OK
2024-01-06 17:48:03 INFO  DriverScraper:24 - OK
2024-01-06 17:48:05 INFO  DriverScraper:24 - OK
2024-01-06 17:48:49 INFO  DriverScraper:24 - OK
2024-01-06 17:48:51 INFO  DriverScraper:24 - OK
2024-01-06 17:49:00 INFO  DriverScraper:24 - OK
2024-01-06 17:49:03 INFO  DriverScraper:24 - OK
2024-01-06 17:49:05 INFO  DriverScraper:24 - OK
2024-01-06 17:52:37 INFO  DriverScraper:24 - OK
2024-01-06 17:52:41 INFO  DriverScraper:24 - OK
2024-01-06 17:52:43 INFO  DriverScraper:24 - OK
2024-01-06 17:52:43 INFO  DriverScraper:24 - OK
2024-01-06 17:52:44 INFO  DriverScraper:24 - OK
2024-01-06 17:53:00 INFO  DriverScraper:24 - OK
2024-01-06 17:53:02 INFO  DriverScraper:24 - OK
2024-01-06 17:53:06 INFO  DriverScraper:24 - OK
2024-01-06 17:53:07 INFO  DriverScraper:24 - OK
2024-01-06 17:53:09 INFO  DriverScraper:24 - OK
2024-01-06 17:53:10 INFO  DriverScraper:24 - OK
2024-01-06 17:53:11 INFO  DriverScraper:24 - OK
2024-01-06 17:53:12 INFO  DriverScraper:24 - OK
2024-01-06 17:53:13 INFO  DriverScraper:24 - OK
2024-01-06 17:53:14 INFO  DriverScraper:24 - OK
2024-01-06 17:53:16 INFO  DriverScraper:24 - OK
2024-01-06 17:53:21 INFO  DriverScraper:24 - OK
2024-01-06 17:53:23 INFO  DriverScraper:24 - OK
2024-01-06 17:53:24 INFO  DriverScraper:24 - OK
2024-01-06 17:53:25 INFO  DriverScraper:24 - OK
2024-01-06 17:53:28 INFO  DriverScraper:24 - OK
